id;nom;date;grid_lon;grid_lat;pr;hurs;sfcWind;tasmax;tasmin;rsds;etp;etpFAO
13510;Boigneville;1960/01/01;2.39043578;48.31996732;3.7;86.9;8.1;10.5;8.3;192.2;0.8;1.1
13510;Boigneville;1960/01/02;2.39043578;48.31996732;6.7;94.3;5.6;11.7;7.7;192.4;0.5;0.5
13510;Boigneville;1960/01/03;2.39043578;48.31996732;0.8;89.3;4.3;11.1;9;301.4;0.9;0.6
13510;Boigneville;1960/01/04;2.39043578;48.31996732;0.5;98;1.7;11.9;9;158.8;0.4;0.3
13510;Boigneville;1960/01/05;2.39043578;48.31996732;0.2;90.5;2.9;11.7;10.2;143;0.7;0.6
13510;Boigneville;1960/01/06;2.39043578;48.31996732;0;89.7;1.4;4.3;2.1;567.7;0.7;0.1
13510;Boigneville;1960/01/07;2.39043578;48.31996732;0;98.4;2;2.2;0.6;108.8;0.2;0.3
13510;Boigneville;1960/01/08;2.39043578;48.31996732;0;95.8;2.1;4.8;1.4;62.6;0.3;0.4
13510;Boigneville;1960/01/09;2.39043578;48.31996732;0;70.7;8.5;0.4;-2.6;508;0.9;1.2
13510;Boigneville;1960/01/10;2.39043578;48.31996732;0;69;7.8;-3;-4.7;561.1;1.1;1
13510;Boigneville;1960/01/11;2.39043578;48.31996732;0.5;82.6;2.7;0.8;-7.8;84.5;0.3;0.5
13510;Boigneville;1960/01/12;2.39043578;48.31996732;0;73;2.7;-2.5;-4.6;459.7;0.6;0.5
13510;Boigneville;1960/01/13;2.39043578;48.31996732;0;85.2;3;-1.1;-6.2;191.4;0.4;0.4
13510;Boigneville;1960/01/14;2.39043578;48.31996732;0;83.2;4.3;-4.1;-11.2;613.8;0.4;0.3
13510;Boigneville;1960/01/15;2.39043578;48.31996732;0;78.4;5.4;-5.7;-6.8;653.4;0.5;0.5
13510;Boigneville;1960/01/16;2.39043578;48.31996732;0;84.1;3.1;0.8;-8.4;196.3;0.6;0.5
13510;Boigneville;1960/01/17;2.39043578;48.31996732;0;89.1;3.1;1.2;-3.8;257.7;0.4;0.4
13510;Boigneville;1960/01/18;2.39043578;48.31996732;0;91;5.5;2.2;-3.3;158.6;0.2;0.5
13510;Boigneville;1960/01/19;2.39043578;48.31996732;3.8;84.6;5.8;4;1;370.7;0.9;0.8
13510;Boigneville;1960/01/20;2.39043578;48.31996732;0.8;85.1;4.7;5.1;1;154.7;0.6;0.8
13510;Boigneville;1960/01/21;2.39043578;48.31996732;0;95.8;3.3;9.4;2.5;123.1;0.2;0.4
13510;Boigneville;1960/01/22;2.39043578;48.31996732;0;87;5.2;11.8;6.9;504.7;0.7;0.9
13510;Boigneville;1960/01/23;2.39043578;48.31996732;3;79.3;7.6;11.2;8.6;63.5;1.3;1.7
13510;Boigneville;1960/01/24;2.39043578;48.31996732;4.4;84;7.3;11.9;9.9;219.6;1.4;1.4
13510;Boigneville;1960/01/25;2.39043578;48.31996732;8.1;97.2;1.6;8.1;5.4;94.7;0.3;0.4
13510;Boigneville;1960/01/26;2.39043578;48.31996732;1.1;98.2;1.3;6.9;3;166.6;0.3;0.3
13510;Boigneville;1960/01/27;2.39043578;48.31996732;8.5;95.7;3.4;10.4;4.1;360.2;0.5;0.4
13510;Boigneville;1960/01/28;2.39043578;48.31996732;0.2;89.5;6.1;7.2;6.3;85.3;0.5;0.8
13510;Boigneville;1960/01/29;2.39043578;48.31996732;0;82.6;4.5;8.8;1.9;730.6;1.3;0.9
13510;Boigneville;1960/01/30;2.39043578;48.31996732;0;85.6;3;7.8;0.7;366.9;0.9;0.7
13510;Boigneville;1960/01/31;2.39043578;48.31996732;0;84.4;0.6;7.6;-0.1;686;0.8;0.3
13510;Boigneville;1960/02/01;2.39043578;48.31996732;0;87.5;1.4;7.8;-1.6;509.6;0.5;0.4
13510;Boigneville;1960/02/02;2.39043578;48.31996732;0;97;2.4;6.7;1.8;83.8;0.1;0.4
13510;Boigneville;1960/02/03;2.39043578;48.31996732;0.2;81.6;4.8;8.1;3.1;158.7;0.7;1.1
13510;Boigneville;1960/02/04;2.39043578;48.31996732;0.4;86.2;6.9;8.4;5.1;261.2;1;1
13510;Boigneville;1960/02/05;2.39043578;48.31996732;0;90.7;2.9;6.9;0;659.8;0.9;0.5
13510;Boigneville;1960/02/06;2.39043578;48.31996732;0;90.7;3.8;5.1;1;243.4;0.4;0.6
13510;Boigneville;1960/02/07;2.39043578;48.31996732;0;65.4;8.5;0.7;-0.3;454;1.4;1.7
13510;Boigneville;1960/02/08;2.39043578;48.31996732;0;40.6;7.5;0.3;-3.9;1114;2.2;2.4
13510;Boigneville;1960/02/09;2.39043578;48.31996732;0;54.3;3.5;0.9;-3.8;1126.2;1.6;1.3
13510;Boigneville;1960/02/10;2.39043578;48.31996732;0;68.8;0.4;1.2;-8.4;1061.2;0.9;0.3
13510;Boigneville;1960/02/11;2.39043578;48.31996732;0;81.6;0.6;2.2;-4.5;245.4;0.3;0.4
13510;Boigneville;1960/02/12;2.39043578;48.31996732;0;96.4;1.6;3.6;-0.6;190.6;0.3;0.4
13510;Boigneville;1960/02/13;2.39043578;48.31996732;3.2;94.7;4.1;2.8;0.8;93.7;0.3;0.4
