Id_point;Position X;Position Y;X_L2E;Y_L2E;X_L93;Y_L93;Longitude;Latitude;Altitude (m);
139;139;0;1172000;1617000; 1215772.692 ; 6046240.741 ; 9.14949775 ; 41.33728886 ;1; 
281;138;1;1164000;1625000; 1207853.336 ; 6054300.574 ; 9.06281317 ; 41.41492220 ;2; 
282;139;1;1172000;1625000; 1215842.953 ; 6054230.333 ; 9.15774564 ; 41.40874837 ;77; 
283;140;1;1180000;1625000; 1223832.566 ; 6054160.048 ; 9.25265817 ; 41.40248830 ;9; 
422;136;2;1148000;1633000; 1191944.221 ; 6062430.571 ; 8.88081527 ; 41.49850083 ;18; 
423;137;2;1156000;1633000; 1199933.890 ; 6062360.415 ; 8.97590090 ; 41.49249175 ;68; 
424;138;2;1164000;1633000; 1207923.556 ; 6062290.215 ; 9.07096706 ; 41.48639624 ;45; 
425;139;2;1172000;1633000; 1215913.218 ; 6062219.970 ; 9.16601348 ; 41.48021435 ;146; 
426;140;2;1180000;1633000; 1223902.875 ; 6062149.681 ; 9.26103987 ; 41.47394608 ;45; 
564;135;3;1140000;1641000; 1184024.638 ; 6070490.380 ; 8.79354102 ; 41.57592746 ;52; 
565;136;3;1148000;1641000; 1192014.356 ; 6070420.265 ; 8.88876028 ; 41.56999708 ;157; 
566;137;3;1156000;1641000; 1200004.070 ; 6070350.105 ; 8.98396026 ; 41.56398013 ;240; 
567;138;3;1164000;1641000; 1207993.781 ; 6070279.901 ; 9.07914071 ; 41.55787665 ;583; 
568;139;3;1172000;1641000; 1215983.487 ; 6070209.652 ; 9.17430133 ; 41.55168667 ;165; 
569;140;3;1180000;1641000; 1223973.188 ; 6070139.358 ; 9.26944187 ; 41.54541021 ;57; 
707;135;4;1140000;1649000; 1184094.733 ; 6078480.122 ; 8.80139059 ; 41.64743774 ;41; 
708;136;4;1148000;1649000; 1192084.496 ; 6078410.003 ; 8.89672455 ; 41.64149960 ;198; 
709;137;4;1156000;1649000; 1200074.255 ; 6078339.839 ; 8.99203917 ; 41.63547478 ;252; 
710;138;4;1164000;1649000; 1208064.009 ; 6078269.631 ; 9.08733417 ; 41.62936331 ;529; 
711;139;4;1172000;1649000; 1216053.760 ; 6078199.378 ; 9.18260928 ; 41.62316523 ;546; 
712;140;4;1180000;1649000; 1224043.506 ; 6078129.080 ; 9.27786423 ; 41.61688056 ;70; 
849;134;5;1132000;1657000; 1176175.020 ; 6086539.988 ; 8.71379117 ; 41.72481330 ;33; 
850;135;5;1140000;1657000; 1184164.832 ; 6086469.910 ; 8.80925924 ; 41.71895420 ;38; 
851;136;5;1148000;1657000; 1192154.639 ; 6086399.786 ; 8.90470817 ; 41.71300829 ;272; 
852;137;5;1156000;1657000; 1200144.443 ; 6086329.618 ; 9.00013769 ; 41.70697559 ;412; 
853;138;5;1164000;1657000; 1208134.242 ; 6086259.406 ; 9.09554752 ; 41.70085613 ;524; 
854;139;5;1172000;1657000; 1216124.037 ; 6086189.148 ; 9.19093739 ; 41.69464994 ;795; 
855;140;5;1180000;1657000; 1224113.828 ; 6086118.846 ; 9.28630702 ; 41.68835705 ;355; 
856;141;5;1188000;1657000; 1232103.615 ; 6086048.500 ; 9.38165614 ; 41.68197749 ;27; 
992;134;6;1132000;1665000; 1176245.078 ; 6094529.824 ; 8.72156364 ; 41.79634351 ;60; 
993;135;6;1140000;1665000; 1184234.935 ; 6094459.742 ; 8.81714702 ; 41.79047675 ;349; 
994;136;6;1148000;1665000; 1192224.787 ; 6094389.614 ; 8.91271120 ; 41.78452305 ;273; 
995;137;6;1156000;1665000; 1200214.635 ; 6094319.442 ; 9.00825589 ; 41.77848246 ;802; 
996;138;6;1164000;1665000; 1208204.479 ; 6094249.225 ; 9.10378083 ; 41.77235499 ;897; 
997;139;6;1172000;1665000; 1216194.319 ; 6094178.964 ; 9.19928573 ; 41.76614068 ;940; 
998;140;6;1180000;1665000; 1224184.155 ; 6094108.657 ; 9.29477033 ; 41.75983957 ;574; 
999;141;6;1188000;1665000; 1232173.986 ; 6094038.307 ; 9.39023433 ; 41.75345166 ;98; 
1134;133;7;1124000;1673000; 1168325.235 ; 6102589.747 ; 8.63363705 ; 41.87366708 ;1; 
1135;134;7;1132000;1673000; 1176315.141 ; 6102519.705 ; 8.72935503 ; 41.86787971 ;1; 
1136;135;7;1140000;1673000; 1184305.042 ; 6102449.618 ; 8.82505400 ; 41.86200526 ;235; 
1137;136;7;1148000;1673000; 1192294.939 ; 6102379.487 ; 8.92073371 ; 41.85604378 ;549; 
1138;137;7;1156000;1673000; 1200284.832 ; 6102309.310 ; 9.01639386 ; 41.84999528 ;490; 
1139;138;7;1164000;1673000; 1208274.721 ; 6102239.089 ; 9.11203418 ; 41.84385980 ;1212; 
1140;139;7;1172000;1673000; 1216264.605 ; 6102168.824 ; 9.20765439 ; 41.83763736 ;1478; 
1141;140;7;1180000;1673000; 1224254.486 ; 6102098.513 ; 9.30325422 ; 41.83132800 ;493; 
1142;141;7;1188000;1673000; 1232244.362 ; 6102028.158 ; 9.39883338 ; 41.82493175 ;83; 
1276;132;8;1116000;1681000; 1160405.303 ; 6110649.677 ; 8.54547879 ; 41.95092448 ;1; 
1277;133;8;1124000;1681000; 1168395.257 ; 6110579.676 ; 8.64133149 ; 41.94521674 ;157; 
1278;134;8;1132000;1681000; 1176385.207 ; 6110509.630 ; 8.73716541 ; 41.93942179 ;143; 
1279;135;8;1140000;1681000; 1184375.153 ; 6110439.539 ; 8.83298026 ; 41.93353966 ;122; 
1280;136;8;1148000;1681000; 1192365.095 ; 6110369.404 ; 8.92877577 ; 41.92757037 ;458; 
1281;137;8;1156000;1681000; 1200355.033 ; 6110299.224 ; 9.02455165 ; 41.92151396 ;965; 
1282;138;8;1164000;1681000; 1208344.966 ; 6110228.998 ; 9.12030763 ; 41.91537045 ;857; 
1283;139;8;1172000;1681000; 1216334.896 ; 6110158.728 ; 9.21604343 ; 41.90913987 ;1233; 
1284;140;8;1180000;1681000; 1224324.821 ; 6110088.413 ; 9.31175877 ; 41.90282226 ;470; 
1285;141;8;1188000;1681000; 1232314.741 ; 6110018.054 ; 9.40745337 ; 41.89641764 ;23; 
1420;133;9;1124000;1689000; 1168465.282 ; 6118569.650 ; 8.64904473 ; 42.01677218 ;31; 
1421;134;9;1132000;1689000; 1176455.277 ; 6118499.600 ; 8.74499487 ; 42.01096965 ;242; 
1422;135;9;1140000;1689000; 1184445.268 ; 6118429.506 ; 8.84092587 ; 42.00507982 ;287; 
1423;136;9;1148000;1689000; 1192435.255 ; 6118359.366 ; 8.93683746 ; 41.99910272 ;733; 
1424;137;9;1156000;1689000; 1200425.237 ; 6118289.181 ; 9.03272935 ; 41.99303838 ;958; 
1425;138;9;1164000;1689000; 1208415.216 ; 6118218.952 ; 9.12860126 ; 41.98688683 ;1370; 
1426;139;9;1172000;1689000; 1216405.190 ; 6118148.678 ; 9.22445293 ; 41.98064811 ;1174; 
1427;140;9;1180000;1689000; 1224395.160 ; 6118078.359 ; 9.32028405 ; 41.97432223 ;415; 
1428;141;9;1188000;1689000; 1232385.126 ; 6118007.995 ; 9.41609437 ; 41.96790923 ;12; 
1562;132;10;1116000;1697000; 1160545.268 ; 6126629.678 ; 8.56069125 ; 42.09405600 ;1; 
1563;133;10;1124000;1697000; 1168535.312 ; 6126559.669 ; 8.65677682 ; 42.08833331 ;7; 
1564;134;10;1132000;1697000; 1176525.351 ; 6126489.616 ; 8.75284346 ; 42.08252318 ;139; 
1565;135;10;1140000;1697000; 1184515.387 ; 6126419.517 ; 8.84889089 ; 42.07662564 ;511; 
1566;136;10;1148000;1697000; 1192505.419 ; 6126349.373 ; 8.94491884 ; 42.07064072 ;527; 
1567;137;10;1156000;1697000; 1200495.447 ; 6126279.184 ; 9.04092702 ; 42.06456845 ;924; 
1568;138;10;1164000;1697000; 1208485.470 ; 6126208.951 ; 9.13691515 ; 42.05840885 ;1628; 
1569;139;10;1172000;1697000; 1216475.489 ; 6126138.672 ; 9.23288296 ; 42.05216196 ;1116; 
1570;140;10;1180000;1697000; 1224465.504 ; 6126068.349 ; 9.32883015 ; 42.04582781 ;255; 
1571;141;10;1188000;1697000; 1232455.514 ; 6125997.980 ; 9.42475646 ; 42.03940642 ;25; 
1572;142;10;1196000;1697000; 1240445.520 ; 6125927.567 ; 9.52066160 ; 42.03289783 ;1; 
1637;64;11;572000;1705000; 617282.937 ; 6139274.594 ; 1.99772032 ; 42.34876330 ;1786; 
1638;65;11;580000;1705000; 625273.165 ; 6139207.658 ; 2.09453799 ; 42.34902924 ;1911; 
1641;68;11;604000;1705000; 649243.848 ; 6139006.578 ; 2.38499424 ; 42.34929627 ;1288; 
1642;69;11;612000;1705000; 657234.076 ; 6138939.460 ; 2.48181309 ; 42.34920835 ;1064; 
1643;70;11;620000;1705000; 665224.302 ; 6138872.297 ; 2.57863150 ; 42.34903196 ;933; 
1644;71;11;628000;1705000; 673214.529 ; 6138805.089 ; 2.67544919 ; 42.34876711 ;696; 
1705;132;11;1116000;1705000; 1160615.256 ; 6134619.746 ; 8.56832541 ; 42.16563020 ;28; 
1706;133;11;1124000;1705000; 1168605.345 ; 6134549.734 ; 8.66452783 ; 42.15990002 ;341; 
1707;134;11;1132000;1705000; 1176595.430 ; 6134479.676 ; 8.76071126 ; 42.15408228 ;420; 
1708;135;11;1140000;1705000; 1184585.511 ; 6134409.573 ; 8.85687541 ; 42.14817702 ;622; 
1709;136;11;1148000;1705000; 1192575.587 ; 6134339.425 ; 8.95302000 ; 42.14218427 ;802; 
1710;137;11;1156000;1705000; 1200565.660 ; 6134269.232 ; 9.04914474 ; 42.13610405 ;1255; 
1711;138;11;1164000;1705000; 1208555.728 ; 6134198.994 ; 9.14524937 ; 42.12993640 ;1244; 
1712;139;11;1172000;1705000; 1216545.792 ; 6134128.711 ; 9.24133360 ; 42.12368133 ;826; 
1713;140;11;1180000;1705000; 1224535.852 ; 6134058.384 ; 9.33739714 ; 42.11733889 ;335; 
1714;141;11;1188000;1705000; 1232525.907 ; 6133988.011 ; 9.43343971 ; 42.11090911 ;56; 
1715;142;11;1196000;1705000; 1240515.958 ; 6133917.593 ; 9.52946105 ; 42.10439201 ;4; 
1779;63;12;564000;1713000; 609359.577 ; 6147331.736 ; 1.90036562 ; 42.42022824 ;1203; 
1780;64;12;572000;1713000; 617349.850 ; 6147264.845 ; 1.99730166 ; 42.42058311 ;1424; 
1781;65;12;580000;1713000; 625340.124 ; 6147197.909 ; 2.09423873 ; 42.42084940 ;2149; 
1782;66;12;588000;1713000; 633330.397 ; 6147130.927 ; 2.19117654 ; 42.42102711 ;2420; 
1783;67;12;596000;1713000; 641320.670 ; 6147063.900 ; 2.28811480 ; 42.42111624 ;2178; 
1784;68;12;604000;1713000; 649310.943 ; 6146996.828 ; 2.38505321 ; 42.42111679 ;1709; 
1785;69;12;612000;1713000; 657301.216 ; 6146929.710 ; 2.48199147 ; 42.42102875 ;1130; 
1786;70;12;620000;1713000; 665291.488 ; 6146862.546 ; 2.57892929 ; 42.42085213 ;721; 
1787;71;12;628000;1713000; 673281.760 ; 6146795.338 ; 2.67586638 ; 42.42058693 ;860; 
1788;72;12;636000;1713000; 681272.031 ; 6146728.084 ; 2.77280244 ; 42.42023315 ;671; 
1789;73;12;644000;1713000; 689262.302 ; 6146660.784 ; 2.86973718 ; 42.41979080 ;304; 
1791;75;12;660000;1713000; 705242.841 ; 6146526.049 ; 3.06360149 ; 42.41864036 ;299; 
1792;76;12;668000;1713000; 713233.110 ; 6146458.613 ; 3.16053049 ; 42.41793228 ;78; 
1848;132;12;1116000;1713000; 1160685.248 ; 6142609.859 ; 8.57597828 ; 42.23720988 ;82; 
1849;133;12;1124000;1713000; 1168675.382 ; 6142539.843 ; 8.67229784 ; 42.23147220 ;522; 
1850;134;12;1132000;1713000; 1176665.512 ; 6142469.781 ; 8.76859833 ; 42.22564685 ;713; 
1851;135;12;1140000;1713000; 1184655.638 ; 6142399.674 ; 8.86487948 ; 42.21973386 ;974; 
1852;136;12;1148000;1713000; 1192645.760 ; 6142329.522 ; 8.96114099 ; 42.21373326 ;1438; 
1853;137;12;1156000;1713000; 1200635.877 ; 6142259.325 ; 9.05738259 ; 42.20764509 ;1747; 
1854;138;12;1164000;1713000; 1208625.991 ; 6142189.083 ; 9.15360399 ; 42.20146936 ;972; 
1855;139;12;1172000;1713000; 1216616.100 ; 6142118.796 ; 9.24980492 ; 42.19520612 ;543; 
1856;140;12;1180000;1713000; 1224606.205 ; 6142048.464 ; 9.34598509 ; 42.18885538 ;374; 
1857;141;12;1188000;1713000; 1232596.305 ; 6141978.086 ; 9.44214421 ; 42.18241718 ;103; 
1858;142;12;1196000;1713000; 1240586.401 ; 6141907.664 ; 9.53828202 ; 42.17589156 ;12; 
